"time","tripId","tripHeadsign","routeId","stopId","scheduledDepartureTime","predictedDepartureTime","scheduledArrivalTime","predictedArrivalTime","vehicleId","lastUpdateTime","distanceFromStop","numberOfStopsAway","route","day","trip","arrivalTime","departureTime","timeToScheduledArrivalMin","timeToScheduledDepartureMin","timeToArrivalMin","timeToPredictedArrivalMin","timeSinceLastUpdateMin","predictedArrivalDelayMin","arrivalDelayMin","predictedDepartureDelayMin","departureDelayMin"
1415196669240,"1_25423811","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415198038000,1415198107000,1415198038000,1415198107000,"1_4209",1415196594000,6419.3955167552,21,"44","16379","1_25423811:16379",1415198048000,1415198048000,22.8126666666667,-22.8126666666667,22.9793333333333,23.9626666666667,1.254,1.15,0.166666666666667,1.15,0.166666666666667
1415197485360,"1_25423811","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415198038000,1415198009000,1415198038000,1415198009000,"1_4209",1415197415000,2161.28859573345,7,"44","16379","1_25423811:16379",1415198048000,1415198048000,9.21066666666667,-9.21066666666667,9.37733333333333,8.72733333333333,1.17266666666667,-0.483333333333333,0.166666666666667,-0.483333333333333,0.166666666666667
1415197576026,"1_25423811","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415198038000,1415197997000,1415198038000,1415197997000,"1_4209",1415197489000,1695.69087952829,5,"44","16379","1_25423811:16379",1415198048000,1415198048000,7.69956666666667,-7.69956666666667,7.86623333333333,7.01623333333333,1.45043333333333,-0.683333333333333,0.166666666666667,-0.683333333333333,0.166666666666667
1415197636527,"1_25423811","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415198038000,1415197954000,1415198038000,1415197954000,"1_4209",1415197573000,1229.66528922351,4,"44","16379","1_25423811:16379",1415198048000,1415198048000,6.69121666666667,-6.69121666666667,6.85788333333333,5.29121666666667,1.05878333333333,-1.4,0.166666666666667,-1.4,0.166666666666667
1415197697029,"1_25423811","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415198038000,1415197954000,1415198038000,1415197954000,"1_4209",1415197573000,984.645867780779,3,"44","16379","1_25423811:16379",1415198048000,1415198048000,5.68285,-5.68285,5.84951666666667,4.28285,2.06715,-1.4,0.166666666666667,-1.4,0.166666666666667
1415197908924,"1_25423811","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415198038000,1415197995000,1415198038000,1415197995000,"1_4209",1415197840000,334.231698925199,0,"44","16379","1_25423811:16379",1415198048000,1415198048000,2.15126666666667,-2.15126666666667,2.31793333333333,1.4346,1.14873333333333,-0.716666666666667,0.166666666666667,-0.716666666666667,0.166666666666667
1415198211511,"1_25423811","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415198038000,1415198048000,1415198038000,1415198048000,"1_4209",1415198110000,-404.426236215972,-2,"44","16379","1_25423811:16379",1415198048000,1415198048000,-2.89185,2.89185,-2.72518333333333,-2.72518333333333,1.69185,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
1415198272028,"1_25423811","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415198038000,1415198048000,1415198038000,1415198048000,"1_4209",1415198110000,-443.802331289873,-2,"44","16379","1_25423811:16379",1415198048000,1415198048000,-3.90046666666667,3.90046666666667,-3.7338,-3.7338,2.70046666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
1415198665501,"1_25423812","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415200001000,1415200126000,1415200001000,1415200126000,"1_4205",1415198607000,6314.93276596068,21,"44","16379","1_25423812:16379",1415199995500,1415199995500,22.2583166666667,-22.2583166666667,22.16665,24.34165,0.975016666666667,2.08333333333333,-0.0916666666666667,2.08333333333333,-0.0916666666666667
1415198786533,"1_25423812","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415200001000,1415200108000,1415200001000,1415200108000,"1_4205",1415198742000,5594.50385061399,19,"44","16379","1_25423812:16379",1415199995500,1415199995500,20.2411166666667,-20.2411166666667,20.14945,22.02445,0.742216666666667,1.78333333333333,-0.0916666666666667,1.78333333333333,-0.0916666666666667
1415199360898,"1_25423812","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415200001000,1415200098000,1415200001000,1415200098000,"1_4205",1415199337000,2935.38985804839,9,"44","16379","1_25423812:16379",1415199995500,1415199995500,10.6683666666667,-10.6683666666667,10.5767,12.2850333333333,0.3983,1.61666666666667,-0.0916666666666667,1.61666666666667,-0.0916666666666667
1415199360898,"1_25423813","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415200781000,1415200953000,1415200781000,1415200953000,"1_4180",1415199328000,6065.9070114603,20,"44","16379","1_25423813:16379",1415200801500,1415200801500,23.6683666666667,-23.6683666666667,24.0100333333333,26.5350333333333,0.5483,2.86666666666667,0.341666666666667,2.86666666666667,0.341666666666667
1415199451647,"1_25423812","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415200001000,1415200097000,1415200001000,1415200097000,"1_4205",1415199415000,2517.13199207384,8,"44","16379","1_25423812:16379",1415199995500,1415199995500,9.15588333333333,-9.15588333333333,9.06421666666667,10.7558833333333,0.610783333333333,1.6,-0.0916666666666667,1.6,-0.0916666666666667
1415199451647,"1_25423813","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415200781000,1415200969000,1415200781000,1415200969000,"1_4180",1415199418000,5677.42273534666,19,"44","16379","1_25423813:16379",1415200801500,1415200801500,22.1558833333333,-22.1558833333333,22.49755,25.2892166666667,0.560783333333333,3.13333333333333,0.341666666666667,3.13333333333333,0.341666666666667
1415199512186,"1_25423812","UNIVERSITY OF WASHINGTON MEDICAL CENTER, WALLINGFORD","1_100224","1_29240",1415200001000,1415200048000,1415200001000,1415200048000,"1_4205",1415199485000,2021.2208663862,6,"44","16379","1_25423812:16379",1415199995500,1415199995500,8.1469,-8.1469,8.05523333333333,8.93023333333333,0.4531,0.783333333333333,-0.0916666666666667,0.783333333333333,-0.0916666666666667
